,id,season,gamesPlayedHome,gamesPlayedAway,totalGamesHome,totalWinsHome,homeGamesHome,homeWinsHome,awayGamesHome,awayWinsHome,percentageTotalWinHome,percentageHomeWinHome,percentageAwayWinHome,totalGamesAway,totalWinsAway,homeGamesAway,homeWinsAway,awayGamesAway,awayWinsAway,percentageTotalWinAway,percentageHomeWinAway,percentageAwayWinAway,lastGame1WinHome,lastGame1AtHomeHome,lastGame2WinHome,lastGame2AtHomeHome,lastGame3WinHome,lastGame3AtHomeHome,lastGame4WinHome,lastGame4AtHomeHome,lastGame5WinHome,lastGame5AtHomeHome,lastGame1WinAway,lastGame1AtHomeAway,lastGame2WinAway,lastGame2AtHomeAway,lastGame3WinAway,lastGame3AtHomeAway,lastGame4WinAway,lastGame4AtHomeAway,lastGame5WinAway,lastGame5AtHomeAway,statsHome.seasonTotalPossessions,statsHome.last5TotalPossessions,statsHome.seasonTotalPoints,statsHome.last5TotalPoints,statsHome.seasonOffensiveRating,statsHome.last5OffensiveRating,statsHome.seasonDefensiveRating,statsHome.last5DefensiveRating,statsAway.seasonTotalPossessions,statsAway.last5TotalPossessions,statsAway.seasonTotalPoints,statsAway.last5TotalPoints,statsAway.seasonOffensiveRating,statsAway.last5OffensiveRating,statsAway.seasonDefensiveRating,statsAway.last5DefensiveRating,homeWin,homeBestOdds,awayBestOdds,forecast,winnings
77,42179,2017,36,36,34,17,17,10,17,7,0.5,0.588,0.41200000000000003,34,12,18,8,16,4,0.353,0.444,0.25,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,3086.2,452.8,3481,519,112.79,114.62,111.79,113.74,3250.4,469.2,3781,545,116.32,116.16,113.59,110.4,True,1.22,5.0,True,61.0
78,42180,2017,38,38,37,11,12,4,25,7,0.297,0.33299999999999996,0.28,39,29,18,14,21,15,0.7440000000000001,0.778,0.7140000000000001,False,False,True,True,True,False,True,True,False,True,False,True,False,False,False,True,True,False,False,False,3445.8,449.0,3999,535,116.05,119.15,111.09,113.59,3603.2,457.4,4239,501,117.65,109.53,117.59,113.25,False,2.9,1.52,False,76.0
79,42181,2017,38,39,36,20,16,9,20,11,0.556,0.562,0.55,39,22,19,16,20,6,0.564,0.8420000000000001,0.3,False,True,True,True,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,True,3524.8,495.8,3997,543,113.4,109.52,113.77,109.32,3568.8,468.6,4383,565,122.81,120.57,116.87,122.49,False,1.81,2.14,True,-50
80,42182,2017,37,38,34,14,18,11,16,3,0.41200000000000003,0.611,0.188,36,12,18,8,18,4,0.33299999999999996,0.444,0.222,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,3043.8,452.8,3521,499,115.68,110.2,112.33,107.77,3365.0,486.6,3929,541,116.76,111.18,114.59,111.18,False,1.67,2.45,True,-50
81,42184,2017,38,37,36,19,20,14,16,5,0.528,0.7,0.312,35,24,19,15,16,9,0.6859999999999999,0.789,0.562,False,False,True,False,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,3330.4,461.6,3940,526,118.3,113.95,113.23,107.45,3301.4,471.0,3844,523,116.44,111.04,111.89,106.79,True,1.89,2.06,True,94.5
82,42185,2017,36,40,37,25,19,12,18,13,0.6759999999999999,0.632,0.722,40,11,20,6,20,5,0.275,0.3,0.25,False,False,False,True,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,3511.6,450.4,4057,500,115.53,111.01,115.84,117.67,3642.8,467.4,4212,507,115.63,108.47,113.24,112.11,True,1.25,4.95,True,62.5
83,42186,2017,39,40,36,19,14,10,22,9,0.528,0.7140000000000001,0.409,37,26,21,15,16,11,0.703,0.7140000000000001,0.688,True,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,True,3272.2,461.4,3634,520,111.06,112.7,108.83,105.98,3528.6,467.2,4197,531,118.94,113.66,116.73,122.0,False,3.34,1.4,True,-50
84,42187,2017,38,37,38,23,17,12,21,11,0.605,0.706,0.524,34,16,17,9,17,7,0.47100000000000003,0.529,0.41200000000000003,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,3494.6,459.8,4011,518,114.78,112.66,114.18,111.57,3236.2,484.0,3765,522,116.34,107.85,112.26,109.09,True,1.43,3.65,True,71.5
85,42188,2017,39,39,38,18,22,13,16,5,0.474,0.591,0.312,40,22,21,12,19,10,0.55,0.5710000000000001,0.526,False,False,True,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,True,False,3489.6,464.6,4022,515,115.26,110.85,111.96,107.83,3673.2,465.4,4236,525,115.32,112.81,115.24,119.04,True,1.86,2.12,True,93.0
86,42189,2017,37,39,36,22,18,11,18,11,0.611,0.611,0.611,37,17,17,10,20,7,0.45899999999999996,0.588,0.35,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,3368.6,462.0,3944,517,117.08,111.9,115.69,120.78,3474.4,475.4,4071,530,117.17,111.49,116.83,117.8,False,1.58,2.6,True,-50
