,id,location,scoreAway,scoreHome,scoreQuarters,season,statsAway.Ast,statsAway.Blk,statsAway.BlkAgainst,statsAway.DefReb,statsAway.Ejections,statsAway.Fg2PtAtt,statsAway.Fg2PtMade,statsAway.Fg2PtPct,statsAway.Fg3PtAtt,statsAway.Fg3PtMade,statsAway.Fg3PtPct,statsAway.FgAtt,statsAway.FgMade,statsAway.FgPct,statsAway.FoulFlag1,statsAway.FoulFlag1Drawn,statsAway.FoulFlag2,statsAway.FoulFlag2Drawn,statsAway.FoulPers,statsAway.FoulPersDrawn,statsAway.FoulTech,statsAway.FoulTechDrawn,statsAway.Fouls,statsAway.FoulsDrawn,statsAway.FtAtt,statsAway.FtMade,statsAway.FtPct,statsAway.Losses,statsAway.OffReb,statsAway.PlusMinus,statsAway.Pts,statsAway.PtsAgainst,statsAway.Reb,statsAway.Stl,statsAway.Tov,statsAway.WinPct,statsAway.Wins,statsHome.Ast,statsHome.Blk,statsHome.BlkAgainst,statsHome.DefReb,statsHome.Ejections,statsHome.Fg2PtAtt,statsHome.Fg2PtMade,statsHome.Fg2PtPct,statsHome.Fg3PtAtt,statsHome.Fg3PtMade,statsHome.Fg3PtPct,statsHome.FgAtt,statsHome.FgMade,statsHome.FgPct,statsHome.FoulFlag1,statsHome.FoulFlag1Drawn,statsHome.FoulFlag2,statsHome.FoulFlag2Drawn,statsHome.FoulPers,statsHome.FoulPersDrawn,statsHome.FoulTech,statsHome.FoulTechDrawn,statsHome.Fouls,statsHome.FoulsDrawn,statsHome.FtAtt,statsHome.FtMade,statsHome.FtPct,statsHome.Losses,statsHome.OffReb,statsHome.PlusMinus,statsHome.Pts,statsHome.PtsAgainst,statsHome.Reb,statsHome.Stl,statsHome.Tov,statsHome.WinPct,statsHome.Wins,teamAwayCode,teamHomeCode,time,time2,day,day2,MatchbookHomeOdd,MatchbookAwayOdd,PinnacleHomeOdd,PinnacleAwayOdd,Bet365HomeOdd,Bet365AwayOdd,gamesPlayedHome,gamesPlayedAway,totalGamesHome,totalWinsHome,homeGamesHome,homeWinsHome,awayGamesHome,awayWinsHome,percentageTotalWinHome,percentageHomeWinHome,percentageAwayWinHome,totalGamesAway,totalWinsAway,homeGamesAway,homeWinsAway,awayGamesAway,awayWinsAway,percentageTotalWinAway,percentageHomeWinAway,percentageAwayWinAway,lastGame1WinHome,lastGame1AtHomeHome,lastGame2WinHome,lastGame2AtHomeHome,lastGame3WinHome,lastGame3AtHomeHome,lastGame4WinHome,lastGame4AtHomeHome,lastGame5WinHome,lastGame5AtHomeHome,lastGame1WinAway,lastGame1AtHomeAway,lastGame2WinAway,lastGame2AtHomeAway,lastGame3WinAway,lastGame3AtHomeAway,lastGame4WinAway,lastGame4AtHomeAway,lastGame5WinAway,lastGame5AtHomeAway,statsHome.seasonTotalPossessions,statsHome.last5TotalPossessions,statsHome.seasonTotalPoints,statsHome.last5TotalPoints,statsHome.seasonOffensiveRating,statsHome.last5OffensiveRating,statsHome.seasonDefensiveRating,statsHome.last5DefensiveRating,statsAway.seasonTotalPossessions,statsAway.last5TotalPossessions,statsAway.seasonTotalPoints,statsAway.last5TotalPoints,statsAway.seasonOffensiveRating,statsAway.last5OffensiveRating,statsAway.seasonDefensiveRating,statsAway.last5DefensiveRating,homeWin
10,42080,AT&T Center,99,107,"[{'number': 1, 'scoreHome': 32, 'scoreAway': 25}, {'number': 2, 'scoreHome': 21, 'scoreAway': 24}, {'number': 3, 'scoreHome': 34, 'scoreAway': 28}, {'number': 4, 'scoreHome': 20, 'scoreAway': 22}]",2017,23,4,11,32,0,66,29,43.9,19,8,42.1,85,37,43.5,0,0,0,0,16,18,16,0,16,18,23,17,73.9,1,16,-8,99,107,48,7,13,0.000,0,22,11,4,38,0,68,33,48.5,21,8,38.1,89,41,46.1,0,0,0,0,18,16,18,0,18,16,19,17,89.5,0,18,8,107,99,56,8,11,1.000,1,MIN,SAS,2017-10-18 21:30:00,2017-10-19 21:30:00,20171018,20171019,1.86,2.07,1.81,2.11,1.83,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
11,42081,Sleep Train Arena,105,100,"[{'number': 1, 'scoreHome': 25, 'scoreAway': 26}, {'number': 2, 'scoreHome': 23, 'scoreAway': 26}, {'number': 3, 'scoreHome': 24, 'scoreAway': 23}, {'number': 4, 'scoreHome': 28, 'scoreAway': 30}]",2017,19,3,4,34,0,38,21,55.3,45,12,26.7,83,33,39.8,0,0,0,0,14,20,14,0,14,20,29,27,93.1,0,17,5,105,100,51,7,14,1.000,1,19,4,3,35,0,65,34,52.3,23,8,34.8,88,42,47.7,0,0,0,0,20,14,20,0,20,14,10,8,80.0,1,14,-5,100,105,49,5,17,0.000,0,HOU,SAC,2017-10-18 22:00:00,2017-10-19 22:00:00,20171018,20171019,3.98,1.3,3.73,1.32,4.0,1.26,1,32,0,0,0,0,0,0,0,0,0,32,24,14,12,18,12,0.75,0.857,0.667,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,0.0,0.0,0,0,0,0,0,0,2957.8,454.8,3514,545,118.8,119.83,118.5,111.7,False
12,42082,Talking Stick Resort Arena,124,76,"[{'number': 1, 'scoreHome': 21, 'scoreAway': 29}, {'number': 2, 'scoreHome': 14, 'scoreAway': 31}, {'number': 3, 'scoreHome': 20, 'scoreAway': 38}, {'number': 4, 'scoreHome': 21, 'scoreAway': 26}]",2017,22,7,8,45,0,66,30,45.4,24,14,58.3,90,44,48.9,0,0,0,0,20,22,20,0,20,22,28,22,78.6,0,27,48,124,76,73,8,16,1.000,1,10,8,7,25,0,62,21,33.9,27,7,25.9,89,28,31.5,0,0,0,0,22,20,22,0,22,20,18,13,72.2,1,20,-48,76,124,45,9,16,0.000,0,POR,PHX,2017-10-18 22:00:00,2017-10-19 22:00:00,20171018,20171019,2.13,1.81,2.09,1.83,2.0,1.83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,False
13,42083,Air Canada Center,101,117,"[{'number': 1, 'scoreHome': 25, 'scoreAway': 23}, {'number': 2, 'scoreHome': 33, 'scoreAway': 14}, {'number': 3, 'scoreHome': 26, 'scoreAway': 27}, {'number': 4, 'scoreHome': 33, 'scoreAway': 37}]",2017,22,2,4,30,0,56,26,46.4,33,11,33.3,89,37,41.6,0,0,0,0,23,19,23,0,23,19,19,16,84.2,1,17,-16,101,117,47,7,19,0.000,0,26,4,2,37,0,54,26,48.2,29,13,44.8,83,39,47.0,0,0,0,0,20,23,20,0,20,23,28,26,92.9,0,16,16,117,101,53,10,17,1.000,1,CHI,TOR,2017-10-19 19:30:00,2017-10-20 19:30:00,20171019,20171020,1.11,8.6,1.1,8.67,1.07,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
14,42084,Chesapeake Energy Arena,84,105,"[{'number': 1, 'scoreHome': 27, 'scoreAway': 24}, {'number': 2, 'scoreHome': 26, 'scoreAway': 18}, {'number': 3, 'scoreHome': 26, 'scoreAway': 17}, {'number': 4, 'scoreHome': 26, 'scoreAway': 25}]",2017,19,4,7,34,0,55,25,45.4,24,7,29.2,79,32,40.5,0,0,0,0,23,22,23,0,25,22,20,13,65.0,1,19,-21,84,105,53,8,25,0.000,0,26,7,4,34,0,52,28,53.8,38,11,29.0,90,39,43.3,0,0,0,0,22,23,22,0,23,23,22,16,72.7,0,22,21,105,84,57,14,18,1.000,1,NYK,OKL,2017-10-19 20:00:00,2017-10-20 20:00:00,20171019,20171020,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
15,42085,Staples Center,108,92,"[{'number': 1, 'scoreHome': 19, 'scoreAway': 27}, {'number': 2, 'scoreHome': 23, 'scoreAway': 26}, {'number': 3, 'scoreHome': 21, 'scoreAway': 34}, {'number': 4, 'scoreHome': 29, 'scoreAway': 21}]",2017,23,3,7,43,0,74,30,40.5,33,12,36.4,107,42,39.2,0,0,0,0,20,15,20,0,20,15,13,12,92.3,0,26,16,108,92,69,12,14,1.000,1,21,7,3,40,0,75,33,44.0,16,4,25.0,91,37,40.7,0,0,0,0,15,20,15,0,16,20,23,14,60.9,1,19,-16,92,108,60,8,19,0.000,0,LAC,LAL,2017-10-19 22:30:00,2017-10-20 22:30:00,20171019,20171020,2.78,1.52,2.63,1.55,2.7,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,False
16,42086,Capital One Arena,111,115,"[{'number': 1, 'scoreHome': 29, 'scoreAway': 31}, {'number': 2, 'scoreHome': 29, 'scoreAway': 34}, {'number': 3, 'scoreHome': 33, 'scoreAway': 16}, {'number': 4, 'scoreHome': 24, 'scoreAway': 30}]",2017,19,1,7,29,0,64,33,51.6,23,10,43.5,87,43,49.4,0,0,0,0,32,18,32,0,32,18,20,15,75.0,1,14,-4,111,115,43,12,19,0.000,0,25,7,1,35,0,58,34,58.6,17,6,35.3,75,40,53.3,0,0,0,0,18,32,18,0,18,32,35,29,82.9,0,12,4,115,111,47,12,16,1.000,1,DET,WAS,2017-10-20 19:00:00,2017-10-21 19:00:00,20171020,20171021,1.44,3.1,1.42,3.14,1.4,3.1,32,32,32,19,16,10,16,9,0.594,0.625,0.562,31,14,20,12,11,2,0.452,0.6,0.182,True,False,False,True,True,True,True,False,False,True,False,True,True,False,True,False,True,True,False,False,2994.0,472.6,3526,541,117.77,114.47,115.06,109.39,2847.6,446.8,3285,524,115.36,117.28,111.81,115.94,True
17,42087,BMO Bradley Harris Center,116,97,"[{'number': 1, 'scoreHome': 25, 'scoreAway': 25}, {'number': 2, 'scoreHome': 24, 'scoreAway': 30}, {'number': 3, 'scoreHome': 24, 'scoreAway': 31}, {'number': 4, 'scoreHome': 24, 'scoreAway': 30}]",2017,25,3,2,35,0,55,33,60.0,26,11,42.3,81,44,54.3,0,1,0,0,10,17,10,0,10,17,17,17,100.0,0,11,19,116,97,48,8,16,1.000,1,23,2,3,24,0,47,27,57.4,35,11,31.4,82,38,46.3,1,0,0,0,17,10,17,0,18,10,12,10,83.3,1,11,-19,97,116,35,8,14,0.000,0,CLE,MIL,2017-10-20 19:00:00,2017-10-21 19:00:00,20171020,20171021,2.34,1.69,2.15,1.79,2.25,1.68,32,32,29,17,14,9,15,8,0.586,0.643,0.533,29,14,12,8,17,6,0.483,0.667,0.353,True,True,False,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,2630.0,466.6,3056,552,116.2,118.3,114.49,120.66,2735.6,459.4,3216,518,117.56,112.76,115.92,125.16,False
18,42088,Bankers Life Fieldhouse,114,96,"[{'number': 1, 'scoreHome': 25, 'scoreAway': 31}, {'number': 2, 'scoreHome': 27, 'scoreAway': 31}, {'number': 3, 'scoreHome': 21, 'scoreAway': 29}, {'number': 4, 'scoreHome': 23, 'scoreAway': 23}]",2017,19,6,4,40,0,76,37,48.7,19,9,47.4,95,46,48.4,0,0,0,0,26,18,26,0,26,18,17,13,76.5,0,18,18,114,96,58,5,9,1.000,1,15,4,6,35,0,60,31,51.7,18,4,22.2,78,35,44.9,0,0,0,0,18,25,18,0,18,25,33,22,66.7,1,14,-18,96,114,49,1,12,0.000,0,POR,IND,2017-10-20 19:00:00,2017-10-21 19:00:00,20171020,20171021,2.23,1.61,2.44,1.63,2.45,1.6,32,32,31,17,17,11,14,6,0.548,0.647,0.429,31,19,13,10,18,9,0.613,0.769,0.5,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,2809.2,446.2,3326,516,118.4,115.64,114.66,119.23,2861.2,464.0,3322,491,116.11,105.82,114.67,110.13,False
19,42089,Spectrum Center,91,109,"[{'number': 1, 'scoreHome': 18, 'scoreAway': 28}, {'number': 2, 'scoreHome': 31, 'scoreAway': 28}, {'number': 3, 'scoreHome': 35, 'scoreAway': 17}, {'number': 4, 'scoreHome': 25, 'scoreAway': 18}]",2017,19,4,4,34,0,65,29,44.6,30,7,23.3,95,36,37.9,0,0,0,0,29,18,29,0,32,18,14,12,85.7,1,15,-18,91,109,49,11,13,0.000,0,17,4,4,46,0,50,26,52.0,36,11,30.6,86,37,43.0,0,0,0,0,18,29,18,0,19,29,30,24,80.0,0,20,18,109,91,67,5,21,1.000,1,ATL,CHA,2017-10-20 19:00:00,2017-10-21 19:00:00,20171020,20171021,1.46,3.0,1.42,3.14,1.41,3.0,32,33,32,16,16,8,16,8,0.5,0.5,0.5,34,13,18,10,16,3,0.382,0.556,0.188,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,2949.2,451.2,3420,516,115.96,114.36,115.79,114.8,3140.6,462.8,3627,546,115.49,117.98,113.35,109.33,True
